type,repository_language,count_event,date
PushEvent,Java,12984,2014-01-18
WatchEvent,C#,233,2014-01-18
PushEvent,OpenEdge ABL,46,2014-01-18
PushEvent,CSS,8709,2014-01-18
WatchEvent,R,36,2014-01-18
PushEvent,JavaScript,17981,2014-01-18
PushEvent,Python,9039,2014-01-18
CreateEvent,,0,2014-01-18
PushEvent,,0,2014-01-18
CreateEvent,JavaScript,1956,2014-01-18
PushEvent,C++,6306,2014-01-18
PushEvent,C,5768,2014-01-18
PushEvent,TeX,763,2014-01-18
PushEvent,Shell,3727,2014-01-18
PushEvent,Ruby,8253,2014-01-18
CreateEvent,CSS,660,2014-01-18
PushEvent,PHP,8790,2014-01-18
CreateEvent,Ruby,1517,2014-01-18
PushEvent,AppleScript,11,2014-01-18
PushEvent,C#,2524,2014-01-18
PushEvent,VimL,999,2014-01-18
CreateEvent,Python,867,2014-01-18
CreateEvent,Java,1146,2014-01-18
WatchEvent,JavaScript,5694,2014-01-18
WatchEvent,Objective-C,1716,2014-01-18
WatchEvent,Ruby,1407,2014-01-18
WatchEvent,CSS,1116,2014-01-18
WatchEvent,Java,1367,2014-01-18
PushEvent,Erlang,150,2014-01-18
PushEvent,Visual Basic,82,2014-01-18
PushEvent,Lasso,12,2014-01-18
WatchEvent,Python,1784,2014-01-18
CreateEvent,Apex,2,2014-01-18
WatchEvent,C,871,2014-01-18
WatchEvent,Go,430,2014-01-18
PushEvent,R,649,2014-01-18
WatchEvent,Lua,64,2014-01-18
CreateEvent,PHP,1089,2014-01-18
CreateEvent,C,562,2014-01-18
PushEvent,Objective-C,1891,2014-01-18
WatchEvent,,0,2014-01-18
PushEvent,Emacs Lisp,460,2014-01-18
PushEvent,Haskell,484,2014-01-18
CreateEvent,C++,559,2014-01-18
WatchEvent,PHP,1197,2014-01-18
PushEvent,UnrealScript,27,2014-01-18
WatchEvent,C++,831,2014-01-18
PushEvent,Vala,50,2014-01-18
PushEvent,Go,890,2014-01-18
CreateEvent,Objective-C,269,2014-01-18
WatchEvent,Shell,492,2014-01-18
PushEvent,Haxe,92,2014-01-18
PushEvent,CoffeeScript,667,2014-01-18
WatchEvent,Perl,121,2014-01-18
PushEvent,Standard ML,24,2014-01-18
WatchEvent,Scala,203,2014-01-18
PushEvent,Assembly,80,2014-01-18
PushEvent,Matlab,181,2014-01-18
PushEvent,Dart,185,2014-01-18
PushEvent,Lua,578,2014-01-18
CreateEvent,Shell,294,2014-01-18
PushEvent,D,95,2014-01-18
WatchEvent,AutoHotkey,6,2014-01-18
PushEvent,Puppet,173,2014-01-18
CreateEvent,C#,258,2014-01-18
WatchEvent,Rust,37,2014-01-18
CreateEvent,TypeScript,29,2014-01-18
WatchEvent,CoffeeScript,201,2014-01-18
PushEvent,Scala,631,2014-01-18
PushEvent,PowerShell,105,2014-01-18
PushEvent,Perl,907,2014-01-18
PushEvent,Clojure,476,2014-01-18
CreateEvent,Erlang,23,2014-01-18
WatchEvent,Common Lisp,51,2014-01-18
PushEvent,Rust,253,2014-01-18
CreateEvent,Vala,2,2014-01-18
PushEvent,ActionScript,83,2014-01-18
WatchEvent,Emacs Lisp,53,2014-01-18
WatchEvent,Clojure,256,2014-01-18
PushEvent,Processing,59,2014-01-18
WatchEvent,Scheme,10,2014-01-18
CreateEvent,DM,21,2014-01-18
CreateEvent,VHDL,4,2014-01-18
PushEvent,Coq,29,2014-01-18
CreateEvent,Rust,21,2014-01-18
PushEvent,OCaml,149,2014-01-18
CreateEvent,Haxe,5,2014-01-18
CreateEvent,Haskell,45,2014-01-18
CreateEvent,Go,94,2014-01-18
WatchEvent,VimL,198,2014-01-18
PushEvent,Julia,118,2014-01-18
CreateEvent,Clojure,46,2014-01-18
PushEvent,DM,94,2014-01-18
PushEvent,Arduino,190,2014-01-18
CreateEvent,CoffeeScript,89,2014-01-18
PushEvent,Groovy,192,2014-01-18
PushEvent,TypeScript,282,2014-01-18
WatchEvent,Erlang,30,2014-01-18
WatchEvent,Pascal,3,2014-01-18
PushEvent,XML,37,2014-01-18
PushEvent,Tcl,31,2014-01-18
PushEvent,DOT,35,2014-01-18
WatchEvent,Dart,33,2014-01-18
PushEvent,Pike,5,2014-01-18
PushEvent,Pascal,77,2014-01-18
CreateEvent,XSLT,9,2014-01-18
CreateEvent,AutoHotkey,5,2014-01-18
PushEvent,LiveScript,26,2014-01-18
PushEvent,BlitzBasic,76,2014-01-18
PushEvent,Common Lisp,99,2014-01-18
WatchEvent,TeX,23,2014-01-18
PushEvent,XC,4,2014-01-18
CreateEvent,TeX,34,2014-01-18
PushEvent,AutoHotkey,19,2014-01-18
WatchEvent,ActionScript,32,2014-01-18
WatchEvent,Haxe,15,2014-01-18
WatchEvent,F#,12,2014-01-18
WatchEvent,Puppet,24,2014-01-18
CreateEvent,CLIPS,1,2014-01-18
WatchEvent,Prolog,2,2014-01-18
PushEvent,Scheme,65,2014-01-18
WatchEvent,Haskell,75,2014-01-18
WatchEvent,Boo,1,2014-01-18
PushEvent,FORTRAN,33,2014-01-18
CreateEvent,Groovy,18,2014-01-18
WatchEvent,VHDL,4,2014-01-18
PushEvent,HaXe,10,2014-01-18
PushEvent,IDL,14,2014-01-18
WatchEvent,TypeScript,48,2014-01-18
CreateEvent,Dart,24,2014-01-18
CreateEvent,Scheme,4,2014-01-18
WatchEvent,Assembly,20,2014-01-18
PushEvent,ColdFusion,13,2014-01-18
PushEvent,Agda,3,2014-01-18
PushEvent,COBOL,5,2014-01-18
CreateEvent,Puppet,22,2014-01-18
PushEvent,JavaScript,16884,2014-02-01
PushEvent,Python,9992,2014-02-01
PushEvent,Java,11780,2014-02-01
PushEvent,CSS,8431,2014-02-01
PushEvent,Ruby,8103,2014-02-01
WatchEvent,Java,1102,2014-02-01
PushEvent,Shell,3757,2014-02-01
PushEvent,VimL,1071,2014-02-01
PushEvent,PHP,8335,2014-02-01
PushEvent,,0,2014-02-01
CreateEvent,,0,2014-02-01
WatchEvent,Python,1903,2014-02-01
PushEvent,C++,5996,2014-02-01
PushEvent,C#,2708,2014-02-01
WatchEvent,CoffeeScript,258,2014-02-01
WatchEvent,JavaScript,5909,2014-02-01
PushEvent,Go,804,2014-02-01
PushEvent,Arduino,169,2014-02-01
PushEvent,C,5449,2014-02-01
WatchEvent,Ruby,1272,2014-02-01
PushEvent,Scala,653,2014-02-01
PushEvent,Objective-C,1646,2014-02-01
CreateEvent,C,831,2014-02-01
WatchEvent,Dart,22,2014-02-01
WatchEvent,C++,619,2014-02-01
PushEvent,Scheme,76,2014-02-01
PushEvent,Puppet,154,2014-02-01
PushEvent,TeX,693,2014-02-01
WatchEvent,CSS,1433,2014-02-01
WatchEvent,Objective-C,1370,2014-02-01
PushEvent,ColdFusion,41,2014-02-01
WatchEvent,C,754,2014-02-01
CreateEvent,JavaScript,1763,2014-02-01
WatchEvent,,0,2014-02-01
WatchEvent,Gosu,2,2014-02-01
PushEvent,Lua,712,2014-02-01
PushEvent,Visual Basic,136,2014-02-01
WatchEvent,PHP,1223,2014-02-01
PushEvent,Haskell,500,2014-02-01
PushEvent,Processing,45,2014-02-01
CreateEvent,Ruby,1368,2014-02-01
CreateEvent,Shell,410,2014-02-01
WatchEvent,Shell,439,2014-02-01
PushEvent,Clojure,359,2014-02-01
PushEvent,CoffeeScript,602,2014-02-01
PushEvent,Dart,208,2014-02-01
CreateEvent,Java,1213,2014-02-01
PushEvent,IDL,77,2014-02-01
CreateEvent,C#,236,2014-02-01
PushEvent,R,376,2014-02-01
PushEvent,Perl,883,2014-02-01
CreateEvent,Perl,149,2014-02-01
PushEvent,Boo,1,2014-02-01
CreateEvent,Assembly,6,2014-02-01
CreateEvent,Crystal,8,2014-02-01
CreateEvent,Objective-C,244,2014-02-01
WatchEvent,Scala,147,2014-02-01
WatchEvent,Scheme,11,2014-02-01
CreateEvent,Scheme,12,2014-02-01
CreateEvent,Python,959,2014-02-01
WatchEvent,Clojure,145,2014-02-01
CreateEvent,Elixir,10,2014-02-01
CreateEvent,Clojure,50,2014-02-01
PushEvent,OCaml,94,2014-02-01
CreateEvent,CSS,764,2014-02-01
CreateEvent,C++,578,2014-02-01
WatchEvent,Go,352,2014-02-01
CreateEvent,Vala,2,2014-02-01
PushEvent,LiveScript,19,2014-02-01
CreateEvent,Julia,18,2014-02-01
PushEvent,Gosu,11,2014-02-01
WatchEvent,VimL,204,2014-02-01
PushEvent,VHDL,30,2014-02-01
CreateEvent,PHP,1068,2014-02-01
CreateEvent,Haskell,53,2014-02-01
PushEvent,DM,64,2014-02-01
PushEvent,ActionScript,146,2014-02-01
PushEvent,Emacs Lisp,454,2014-02-01
CreateEvent,CoffeeScript,113,2014-02-01
WatchEvent,Pascal,4,2014-02-01
WatchEvent,TypeScript,43,2014-02-01
PushEvent,TypeScript,256,2014-02-01
PushEvent,D,116,2014-02-01
WatchEvent,Haskell,72,2014-02-01
CreateEvent,Arduino,13,2014-02-01
PushEvent,Groovy,285,2014-02-01
CreateEvent,TeX,25,2014-02-01
PushEvent,Assembly,100,2014-02-01
PushEvent,Rust,203,2014-02-01
CreateEvent,Go,77,2014-02-01
PushEvent,XSLT,73,2014-02-01
PushEvent,Matlab,187,2014-02-01
PushEvent,UnrealScript,36,2014-02-01
CreateEvent,VimL,64,2014-02-01
WatchEvent,Assembly,23,2014-02-01
PushEvent,Common Lisp,97,2014-02-01
PushEvent,Elixir,32,2014-02-01
PushEvent,Erlang,138,2014-02-01
CreateEvent,DM,10,2014-02-01
PushEvent,ASP,114,2014-02-01
CreateEvent,Scala,83,2014-02-01
WatchEvent,Rust,23,2014-02-01
PushEvent,Tcl,24,2014-02-01
CreateEvent,R,26,2014-02-01
PushEvent,Logtalk,5,2014-02-01
PushEvent,Verilog,34,2014-02-01
CreateEvent,Puppet,24,2014-02-01
CreateEvent,IDL,4,2014-02-01
PushEvent,Crystal,22,2014-02-01
WatchEvent,TeX,26,2014-02-01
CreateEvent,Erlang,30,2014-02-01
WatchEvent,ActionScript,27,2014-02-01
PushEvent,AutoHotkey,40,2014-02-01
PushEvent,FORTRAN,41,2014-02-01
CreateEvent,XSLT,8,2014-02-01
WatchEvent,Emacs Lisp,77,2014-02-01
PushEvent,Monkey,2,2014-02-01
WatchEvent,ASP,1,2014-02-01
WatchEvent,C#,230,2014-02-01
PushEvent,Racket,30,2014-02-01
PushEvent,F#,62,2014-02-01
WatchEvent,LiveScript,3,2014-02-01
WatchEvent,F#,12,2014-02-01
PushEvent,XML,40,2014-02-01
WatchEvent,Processing,9,2014-02-01
WatchEvent,XSLT,12,2014-02-01
WatchEvent,XML,2,2014-02-01
WatchEvent,Apex,2,2014-02-01
PushEvent,Vala,28,2014-02-01
CreateEvent,Emacs Lisp,41,2014-02-01
PushEvent,Brightscript,7,2014-02-01
WatchEvent,Elixir,20,2014-02-01
PushEvent,Awk,8,2014-02-01
CreateEvent,F#,10,2014-02-01
PushEvent,Ada,12,2014-02-01
CreateEvent,TypeScript,27,2014-02-01
PushEvent,Pascal,86,2014-02-01
WatchEvent,Nimrod,1,2014-02-01
WatchEvent,Perl,82,2014-02-01
PushEvent,CSS,11367,2014-01-24
PushEvent,JavaScript,25959,2014-01-24
PushEvent,PHP,12450,2014-01-24
WatchEvent,JavaScript,8115,2014-01-24
CreateEvent,,0,2014-01-24
PushEvent,Shell,4430,2014-01-24
PushEvent,VimL,1338,2014-01-24
CreateEvent,Python,1627,2014-01-24
PushEvent,Python,13344,2014-01-24
WatchEvent,C++,848,2014-01-24
WatchEvent,Haskell,118,2014-01-24
PushEvent,,0,2014-01-24
PushEvent,C++,8107,2014-01-24
PushEvent,Ruby,11635,2014-01-24
PushEvent,Objective-C,2220,2014-01-24
PushEvent,Arduino,151,2014-01-24
WatchEvent,Erlang,75,2014-01-24
PushEvent,C,7239,2014-01-24
CreateEvent,Shell,372,2014-01-24
PushEvent,Java,18792,2014-01-24
WatchEvent,Go,557,2014-01-24
WatchEvent,CSS,1446,2014-01-24
CreateEvent,Objective-C,340,2014-01-24
PushEvent,Pascal,65,2014-01-24
CreateEvent,JavaScript,2656,2014-01-24
WatchEvent,Python,2676,2014-01-24
CreateEvent,Java,2059,2014-01-24
WatchEvent,C#,422,2014-01-24
PushEvent,TeX,1097,2014-01-24
PushEvent,Perl,1518,2014-01-24
PushEvent,C#,3388,2014-01-24
CreateEvent,PHP,1596,2014-01-24
WatchEvent,Java,1892,2014-01-24
WatchEvent,TeX,30,2014-01-24
WatchEvent,C,1050,2014-01-24
WatchEvent,Ruby,2207,2014-01-24
PushEvent,Erlang,342,2014-01-24
CreateEvent,C,747,2014-01-24
CreateEvent,Ruby,2111,2014-01-24
PushEvent,TypeScript,397,2014-01-24
PushEvent,R,571,2014-01-24
CreateEvent,C++,825,2014-01-24
PushEvent,OCaml,181,2014-01-24
PushEvent,Assembly,126,2014-01-24
PushEvent,Groovy,370,2014-01-24
PushEvent,Processing,97,2014-01-24
WatchEvent,PHP,1645,2014-01-24
PushEvent,CoffeeScript,948,2014-01-24
WatchEvent,Lua,68,2014-01-24
CreateEvent,Perl,173,2014-01-24
PushEvent,XSLT,170,2014-01-24
PushEvent,Eiffel,4,2014-01-24
WatchEvent,,0,2014-01-24
PushEvent,Go,1140,2014-01-24
CreateEvent,Puppet,53,2014-01-24
WatchEvent,VimL,267,2014-01-24
WatchEvent,Scala,203,2014-01-24
WatchEvent,Shell,556,2014-01-24
PushEvent,Scala,893,2014-01-24
WatchEvent,Objective-C,2227,2014-01-24
WatchEvent,Assembly,21,2014-01-24
PushEvent,Puppet,323,2014-01-24
CreateEvent,C#,364,2014-01-24
PushEvent,Emacs Lisp,589,2014-01-24
PushEvent,ActionScript,321,2014-01-24
PushEvent,Matlab,328,2014-01-24
PushEvent,Common Lisp,105,2014-01-24
PushEvent,Haskell,616,2014-01-24
PushEvent,D,140,2014-01-24
CreateEvent,CSS,872,2014-01-24
PushEvent,Julia,131,2014-01-24
WatchEvent,PowerShell,14,2014-01-24
PushEvent,Lua,679,2014-01-24
CreateEvent,Erlang,74,2014-01-24
CreateEvent,ActionScript,26,2014-01-24
PushEvent,Clojure,495,2014-01-24
CreateEvent,Scala,153,2014-01-24
PushEvent,PowerShell,146,2014-01-24
WatchEvent,Clojure,274,2014-01-24
PushEvent,AppleScript,11,2014-01-24
PushEvent,DOT,16,2014-01-24
WatchEvent,Dart,40,2014-01-24
PushEvent,Xtend,7,2014-01-24
PushEvent,LiveScript,12,2014-01-24
WatchEvent,CoffeeScript,494,2014-01-24
CreateEvent,XSLT,10,2014-01-24
PushEvent,Logos,25,2014-01-24
CreateEvent,F#,4,2014-01-24
WatchEvent,Emacs Lisp,114,2014-01-24
PushEvent,Idris,14,2014-01-24
WatchEvent,ActionScript,46,2014-01-24
CreateEvent,CoffeeScript,141,2014-01-24
WatchEvent,Perl,119,2014-01-24
PushEvent,nesC,59,2014-01-24
CreateEvent,TeX,70,2014-01-24
WatchEvent,Racket,9,2014-01-24
WatchEvent,Puppet,26,2014-01-24
CreateEvent,VimL,53,2014-01-24
WatchEvent,xBase,1,2014-01-24
PushEvent,Dart,156,2014-01-24
CreateEvent,Emacs Lisp,51,2014-01-24
WatchEvent,OCaml,36,2014-01-24
CreateEvent,TypeScript,55,2014-01-24
WatchEvent,Julia,62,2014-01-24
PushEvent,F#,91,2014-01-24
PushEvent,Agda,14,2014-01-24
PushEvent,XQuery,34,2014-01-24
PushEvent,Tcl,36,2014-01-24
PushEvent,FORTRAN,102,2014-01-24
WatchEvent,ColdFusion,2,2014-01-24
PushEvent,DM,72,2014-01-24
WatchEvent,Groovy,31,2014-01-24
WatchEvent,Io,13,2014-01-24
CreateEvent,Smalltalk,15,2014-01-24
PushEvent,VHDL,118,2014-01-24
PushEvent,Visual Basic,133,2014-01-24
PushEvent,Rust,154,2014-01-24
PushEvent,BlitzBasic,23,2014-01-24
PushEvent,Elixir,42,2014-01-24
CreateEvent,OCaml,34,2014-01-24
PushEvent,Vala,50,2014-01-24
CreateEvent,Go,160,2014-01-24
PushEvent,Haxe,105,2014-01-24
PushEvent,Scheme,124,2014-01-24
WatchEvent,Vala,3,2014-01-24
CreateEvent,D,12,2014-01-24
PushEvent,Lasso,25,2014-01-24
CreateEvent,Dart,16,2014-01-24
WatchEvent,TypeScript,57,2014-01-24
WatchEvent,Rust,26,2014-01-24
PushEvent,AutoHotkey,16,2014-01-24
PushEvent,Racket,40,2014-01-24
WatchEvent,Haxe,21,2014-01-24
PushEvent,Max,12,2014-01-24
PushEvent,SuperCollider,12,2014-01-24
PushEvent,M,22,2014-01-24
WatchEvent,Visual Basic,15,2014-01-24
CreateEvent,Haskell,54,2014-01-24
CreateEvent,IDL,8,2014-01-24
CreateEvent,Lua,60,2014-01-24
CreateEvent,Matlab,24,2014-01-24
PushEvent,Io,4,2014-01-24
PushEvent,IDL,76,2014-01-24
PushEvent,Python,10184,2014-02-15
PushEvent,C,5882,2014-02-15
PushEvent,CSS,8964,2014-02-15
CreateEvent,,0,2014-02-15
PushEvent,C#,3230,2014-02-15
CreateEvent,C++,588,2014-02-15
PushEvent,C++,6393,2014-02-15
PushEvent,,0,2014-02-15
CreateEvent,JavaScript,2092,2014-02-15
PushEvent,Ruby,7672,2014-02-15
WatchEvent,,0,2014-02-15
PushEvent,TypeScript,294,2014-02-15
PushEvent,JavaScript,19455,2014-02-15
PushEvent,Java,13184,2014-02-15
WatchEvent,JavaScript,6955,2014-02-15
PushEvent,TeX,740,2014-02-15
PushEvent,Clojure,415,2014-02-15
CreateEvent,C,751,2014-02-15
WatchEvent,Objective-C,1557,2014-02-15
WatchEvent,Shell,521,2014-02-15
WatchEvent,Assembly,12,2014-02-15
CreateEvent,Java,1327,2014-02-15
CreateEvent,TeX,41,2014-02-15
CreateEvent,Ruby,1403,2014-02-15
PushEvent,Shell,3702,2014-02-15
CreateEvent,CSS,830,2014-02-15
WatchEvent,Ruby,1470,2014-02-15
CreateEvent,Python,999,2014-02-15
PushEvent,Objective-C,2323,2014-02-15
PushEvent,Tcl,13,2014-02-15
PushEvent,PHP,8737,2014-02-15
WatchEvent,C,977,2014-02-15
WatchEvent,Python,2343,2014-02-15
PushEvent,CoffeeScript,751,2014-02-15
WatchEvent,PHP,1074,2014-02-15
WatchEvent,C++,637,2014-02-15
WatchEvent,VimL,211,2014-02-15
PushEvent,Haxe,88,2014-02-15
PushEvent,Emacs Lisp,480,2014-02-15
WatchEvent,Java,1310,2014-02-15
PushEvent,Rust,223,2014-02-15
WatchEvent,CSS,1187,2014-02-15
PushEvent,PowerShell,90,2014-02-15
PushEvent,Go,916,2014-02-15
PushEvent,Arduino,157,2014-02-15
PushEvent,Common Lisp,102,2014-02-15
PushEvent,Matlab,232,2014-02-15
PushEvent,Perl,1014,2014-02-15
PushEvent,Scheme,144,2014-02-15
PushEvent,VimL,1023,2014-02-15
PushEvent,Haskell,577,2014-02-15
CreateEvent,Scheme,8,2014-02-15
PushEvent,Scala,705,2014-02-15
PushEvent,R,389,2014-02-15
PushEvent,Assembly,86,2014-02-15
CreateEvent,Shell,329,2014-02-15
PushEvent,Erlang,119,2014-02-15
PushEvent,Visual Basic,94,2014-02-15
CreateEvent,PHP,955,2014-02-15
CreateEvent,VimL,63,2014-02-15
WatchEvent,CoffeeScript,256,2014-02-15
WatchEvent,C#,267,2014-02-15
PushEvent,Groovy,235,2014-02-15
CreateEvent,Elixir,12,2014-02-15
PushEvent,Dart,180,2014-02-15
CreateEvent,Verilog,2,2014-02-15
WatchEvent,Clojure,140,2014-02-15
WatchEvent,Lua,67,2014-02-15
WatchEvent,Emacs Lisp,79,2014-02-15
CreateEvent,Objective-C,286,2014-02-15
CreateEvent,Erlang,16,2014-02-15
CreateEvent,Clojure,58,2014-02-15
PushEvent,D,153,2014-02-15
WatchEvent,Go,571,2014-02-15
PushEvent,XSLT,78,2014-02-15
PushEvent,Lua,553,2014-02-15
PushEvent,Verilog,35,2014-02-15
CreateEvent,D,19,2014-02-15
PushEvent,Elixir,106,2014-02-15
CreateEvent,Assembly,10,2014-02-15
PushEvent,VHDL,66,2014-02-15
PushEvent,Clean,11,2014-02-15
CreateEvent,C#,295,2014-02-15
PushEvent,ActionScript,144,2014-02-15
CreateEvent,CoffeeScript,95,2014-02-15
WatchEvent,ActionScript,30,2014-02-15
CreateEvent,Haskell,54,2014-02-15
PushEvent,F#,63,2014-02-15
WatchEvent,Haskell,71,2014-02-15
PushEvent,OCaml,75,2014-02-15
WatchEvent,Prolog,6,2014-02-15
WatchEvent,Scala,221,2014-02-15
WatchEvent,Perl,71,2014-02-15
PushEvent,Puppet,243,2014-02-15
CreateEvent,Rust,18,2014-02-15
CreateEvent,Groovy,37,2014-02-15
CreateEvent,Matlab,21,2014-02-15
WatchEvent,Groovy,17,2014-02-15
PushEvent,Julia,114,2014-02-15
CreateEvent,Perl,166,2014-02-15
PushEvent,Elm,16,2014-02-15
WatchEvent,TeX,37,2014-02-15
WatchEvent,Racket,5,2014-02-15
WatchEvent,Rust,19,2014-02-15
WatchEvent,Python,1937,2014-02-08
PushEvent,Python,30208,2014-02-08
PushEvent,,0,2014-02-08
PushEvent,C,6392,2014-02-08
CreateEvent,,0,2014-02-08
PushEvent,C#,2930,2014-02-08
PushEvent,Ruby,9677,2014-02-08
PushEvent,CSS,9471,2014-02-08
PushEvent,Shell,3718,2014-02-08
WatchEvent,Scala,489,2014-02-08
PushEvent,PHP,9076,2014-02-08
WatchEvent,PHP,1290,2014-02-08
PushEvent,JavaScript,19921,2014-02-08
WatchEvent,JavaScript,6393,2014-02-08
PushEvent,TeX,903,2014-02-08
PushEvent,Erlang,131,2014-02-08
PushEvent,CoffeeScript,747,2014-02-08
CreateEvent,C,606,2014-02-08
PushEvent,Groovy,283,2014-02-08
CreateEvent,Java,1388,2014-02-08
PushEvent,Perl,913,2014-02-08
PushEvent,Java,14132,2014-02-08
PushEvent,Scala,737,2014-02-08
WatchEvent,Dart,68,2014-02-08
WatchEvent,Erlang,57,2014-02-08
WatchEvent,C#,295,2014-02-08
CreateEvent,Ruby,1510,2014-02-08
PushEvent,C++,6419,2014-02-08
WatchEvent,Clojure,172,2014-02-08
WatchEvent,Objective-C,2028,2014-02-08
PushEvent,Emacs Lisp,502,2014-02-08
PushEvent,FORTRAN,56,2014-02-08
WatchEvent,Go,995,2014-02-08
PushEvent,Objective-C,2081,2014-02-08
CreateEvent,C#,249,2014-02-08
WatchEvent,Haskell,86,2014-02-08
CreateEvent,Python,1040,2014-02-08
WatchEvent,Java,1490,2014-02-08
PushEvent,Rust,276,2014-02-08
PushEvent,VimL,988,2014-02-08
CreateEvent,FORTRAN,7,2014-02-08
CreateEvent,C++,640,2014-02-08
WatchEvent,R,41,2014-02-08
WatchEvent,,0,2014-02-08
CreateEvent,Haskell,73,2014-02-08
CreateEvent,CSS,730,2014-02-08
CreateEvent,PHP,1088,2014-02-08
WatchEvent,CSS,1396,2014-02-08
PushEvent,Haxe,65,2014-02-08
CreateEvent,Go,110,2014-02-08
PushEvent,R,529,2014-02-08
PushEvent,PowerShell,67,2014-02-08
CreateEvent,Shell,250,2014-02-08
WatchEvent,Ruby,1439,2014-02-08
WatchEvent,Assembly,30,2014-02-08
CreateEvent,Objective-C,310,2014-02-08
PushEvent,Clojure,455,2014-02-08
WatchEvent,C,1008,2014-02-08
PushEvent,LiveScript,23,2014-02-08
PushEvent,Go,1066,2014-02-08
PushEvent,Haskell,627,2014-02-08
CreateEvent,JavaScript,2115,2014-02-08
PushEvent,TypeScript,367,2014-02-08
PushEvent,Puppet,209,2014-02-08
WatchEvent,C++,643,2014-02-08
WatchEvent,Shell,587,2014-02-08
PushEvent,DM,89,2014-02-08
PushEvent,Lua,746,2014-02-08
PushEvent,Arduino,146,2014-02-08
PushEvent,ActionScript,164,2014-02-08
WatchEvent,Puppet,24,2014-02-08
WatchEvent,PowerShell,15,2014-02-08
CreateEvent,Emacs Lisp,40,2014-02-08
PushEvent,AppleScript,18,2014-02-08
PushEvent,Dart,120,2014-02-08
CreateEvent,Arduino,18,2014-02-08
PushEvent,Kotlin,11,2014-02-08
WatchEvent,XSLT,10,2014-02-08
WatchEvent,VimL,279,2014-02-08
PushEvent,Max,21,2014-02-08
PushEvent,AutoHotkey,35,2014-02-08
WatchEvent,XQuery,1,2014-02-08
WatchEvent,Lua,59,2014-02-08
WatchEvent,CoffeeScript,318,2014-02-08
PushEvent,Elixir,64,2014-02-08
PushEvent,Racket,41,2014-02-08
WatchEvent,FORTRAN,30,2014-02-08
PushEvent,Awk,4,2014-02-08
WatchEvent,ActionScript,58,2014-02-08
CreateEvent,Common Lisp,27,2014-02-08
PushEvent,IDL,38,2014-02-08
CreateEvent,CoffeeScript,117,2014-02-08
CreateEvent,Clojure,66,2014-02-08
PushEvent,Assembly,147,2014-02-08
PushEvent,Common Lisp,109,2014-02-08
CreateEvent,AppleScript,4,2014-02-08
WatchEvent,Elixir,57,2014-02-08
WatchEvent,Groovy,19,2014-02-08
PushEvent,XML,35,2014-02-08
CreateEvent,Perl,105,2014-02-08
PushEvent,Objective-J,17,2014-02-08
CreateEvent,TeX,34,2014-02-08
WatchEvent,TypeScript,40,2014-02-08
PushEvent,Visual Basic,92,2014-02-08
PushEvent,Matlab,158,2014-02-08
WatchEvent,Perl,84,2014-02-08
PushEvent,nesC,22,2014-02-08
WatchEvent,OCaml,14,2014-02-08
PushEvent,D,146,2014-02-08
CreateEvent,VimL,51,2014-02-08
PushEvent,OCaml,92,2014-02-08
PushEvent,Julia,124,2014-02-08
PushEvent,Scheme,85,2014-02-08
PushEvent,Processing,58,2014-02-08
WatchEvent,Scheme,11,2014-02-08
WatchEvent,Rust,25,2014-02-08
WatchEvent,Emacs Lisp,108,2014-02-08
WatchEvent,D,7,2014-02-08
PushEvent,XC,2,2014-02-08
PushEvent,Pascal,109,2014-02-08
CreateEvent,Erlang,21,2014-02-08
PushEvent,Ada,17,2014-02-08
WatchEvent,Julia,15,2014-02-08
CreateEvent,Vala,3,2014-02-08
WatchEvent,Gosu,1,2014-02-08
PushEvent,Eiffel,1,2014-02-08
PushEvent,DOT,12,2014-02-08
PushEvent,XSLT,72,2014-02-08
PushEvent,ASP,397,2014-02-08
WatchEvent,Pascal,6,2014-02-08
CreateEvent,Scala,111,2014-02-08
CreateEvent,Lua,54,2014-02-08
CreateEvent,R,30,2014-02-08
WatchEvent,Logos,24,2014-02-08
PushEvent,Logos,19,2014-02-08
WatchEvent,Visual Basic,6,2014-02-08
CreateEvent,Julia,21,2014-02-08
PushEvent,Coq,13,2014-02-08
WatchEvent,Processing,14,2014-02-08
WatchEvent,C,943,2014-03-15
PushEvent,Ruby,8271,2014-03-15
PushEvent,C,6670,2014-03-15
CreateEvent,,0,2014-03-15
PushEvent,Shell,3723,2014-03-15
CreateEvent,Objective-C,312,2014-03-15
CreateEvent,Python,1038,2014-03-15
WatchEvent,Objective-C,1476,2014-03-15
PushEvent,Java,14486,2014-03-15
PushEvent,,0,2014-03-15
PushEvent,OCaml,105,2014-03-15
PushEvent,JavaScript,20460,2014-03-15
PushEvent,C++,6484,2014-03-15
PushEvent,Python,10131,2014-03-15
CreateEvent,C#,341,2014-03-15
PushEvent,TypeScript,353,2014-03-15
WatchEvent,JavaScript,6367,2014-03-15
PushEvent,PHP,9083,2014-03-15
PushEvent,CSS,10765,2014-03-15
WatchEvent,,0,2014-03-15
WatchEvent,CSS,2810,2014-03-15
PushEvent,VimL,991,2014-03-15
WatchEvent,Python,1890,2014-03-15
PushEvent,Lua,555,2014-03-15
PushEvent,Go,1062,2014-03-15
CreateEvent,Java,1464,2014-03-15
CreateEvent,PHP,1054,2014-03-15
PushEvent,TeX,822,2014-03-15
WatchEvent,Java,1907,2014-03-15
